skill,level,question name,function,topic,difficulty level,passage text,question text,answertext1,answertext2,answertext3,answertext4,answertext5,answertext6
reading ,level 1,passage 9 question 4,ask and answer,daily life ,3,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions. As you practice?Askingand Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>understand basic written requests and offers to help</li>
		<li>scan for some details in a simple paragraph or announcement</li>
		<li>understand simple written questions</li>
	</ol>
	<p>Begin with the Warm-up. Then read the passage, and answer the questions. At the end, think about the reflection questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/HeaterRepair.jpg""></p>
	<p>Has something important broken in your house or apartment before? What did you do? Some people living in apartments can ask the property manager for help with maintenance. What do you do when something in your house or apartment breaks, and you can&rsquo;t fix it? Who do you ask for help?</p>
	<p>Review this vocabulary word before reading the emails. It will help you understand the emails.</p>
	<dl>
		<dt>ASAP (acronym):</dt>
		<dd>this means &ldquo;as soon as possible</dd>
		<dt>example:</dt>
		<dd>You need to finish your homework ASAP!</dd>
	</dl>
	<h1>Passage</h1>
	<p>These are some emails sent between Abby and Brittany. Abby lives at Green Mill Apartments. Brittany is the manager there</p>
	<blockquote>
		<p>To: <a>brittany_workman@greenmillapts.com</a><br>
		From: <a>amarich@gmail.com</a><br>
		Subject: heater problem<br>
		<br>
		Hello, I live in apartment 117. Last night the heater broke. It made an incredibly loud noise. Now it won't turn on. I have no idea why. Can you have someone come to look at it ASAP? My apartment is absolutely freezing. I'll be at work during the day.<br>
		<br>
		Thank you,<br>
		Abby Marich</p>
		<hr>
		<p>To: <a>amarich@gmail.com</a><br>
		From: <a>brittany_workman@greenmillapts.com</a><br>
		Subject: Re: heater problem<br>
		<br>
		Abby,<br>
		We're sorry about the problem with your heater. Of course I can send someone. What time is convenient for you? Our maintenance worker has some time this evening. Also, we could give him a key. Then he could let himself in to your apartment this afternoon. Let us know what you prefer.<br>
		We will do our best to repair your heater quickly. However, it may take a few days to fix the problem. The maintenance worker may need to replace the heater. If this is the case, he will leave space heaters in your apartment. This should keep the apartment warm.<br>
		<br>
		Brittany Workman<br>
		Green Mill Apartments<br>
		<a>brittany_workman@greenmillapts.com</a><br>
		650-496-4495</p>
		<hr>
		<p>To: <a>brittanyworkman@greenmillapts.com</a><br>
		From: <a>amarich@gmail.com</a><br>
		Subject: heater problem<br>
		<br>
		Hello Brittany, The evening is much more convenient for me. My cat is scared of unfamiliar people in the apartment. I don&rsquo;t want him to be frightened. Any time after 5p.m. would be fine.<br>
		<br>
		Thank you,<br>
		Abby Marich</p>
	</blockquote>
</body>
</html>","Brittany asks Abby this question: “What time is convenient for you?” 
What is Abby’s response to this question? ",Yes ,No ,In the afternoon,In the evening,,
reading ,level 1,passage 9 question 5,ask and answer,daily life ,3,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions. As you practice?Askingand Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>understand basic written requests and offers to help</li>
		<li>scan for some details in a simple paragraph or announcement</li>
		<li>understand simple written questions</li>
	</ol>
	<p>Begin with the Warm-up. Then read the passage, and answer the questions. At the end, think about the reflection questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/HeaterRepair.jpg""></p>
	<p>Has something important broken in your house or apartment before? What did you do? Some people living in apartments can ask the property manager for help with maintenance. What do you do when something in your house or apartment breaks, and you can&rsquo;t fix it? Who do you ask for help?</p>
	<p>Review this vocabulary word before reading the emails. It will help you understand the emails.</p>
	<dl>
		<dt>ASAP (acronym):</dt>
		<dd>this means &ldquo;as soon as possible</dd>
		<dt>example:</dt>
		<dd>You need to finish your homework ASAP!</dd>
	</dl>
	<h1>Passage</h1>
	<p>These are some emails sent between Abby and Brittany. Abby lives at Green Mill Apartments. Brittany is the manager there</p>
	<blockquote>
		<p>To: <a>brittany_workman@greenmillapts.com</a><br>
		From: <a>amarich@gmail.com</a><br>
		Subject: heater problem<br>
		<br>
		Hello, I live in apartment 117. Last night the heater broke. It made an incredibly loud noise. Now it won't turn on. I have no idea why. Can you have someone come to look at it ASAP? My apartment is absolutely freezing. I'll be at work during the day.<br>
		<br>
		Thank you,<br>
		Abby Marich</p>
		<hr>
		<p>To: <a>amarich@gmail.com</a><br>
		From: <a>brittany_workman@greenmillapts.com</a><br>
		Subject: Re: heater problem<br>
		<br>
		Abby,<br>
		We're sorry about the problem with your heater. Of course I can send someone. What time is convenient for you? Our maintenance worker has some time this evening. Also, we could give him a key. Then he could let himself in to your apartment this afternoon. Let us know what you prefer.<br>
		We will do our best to repair your heater quickly. However, it may take a few days to fix the problem. The maintenance worker may need to replace the heater. If this is the case, he will leave space heaters in your apartment. This should keep the apartment warm.<br>
		<br>
		Brittany Workman<br>
		Green Mill Apartments<br>
		<a>brittany_workman@greenmillapts.com</a><br>
		650-496-4495</p>
		<hr>
		<p>To: <a>brittanyworkman@greenmillapts.com</a><br>
		From: <a>amarich@gmail.com</a><br>
		Subject: heater problem<br>
		<br>
		Hello Brittany, The evening is much more convenient for me. My cat is scared of unfamiliar people in the apartment. I don&rsquo;t want him to be frightened. Any time after 5p.m. would be fine.<br>
		<br>
		Thank you,<br>
		Abby Marich</p>
	</blockquote>
</body>
</html>",Abby wants the maintenance worker to come after what time? ,In the afternoon ,**After 5 pm,In the evening,,,
reading ,level 1,passage 10 question 4,ask and answer,daily life ,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Begin with the Warm-up. Then read the passage, and answer the questions. At the end, think about the reflection questions.?</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/GroceryShopping.jpg""></p>
	<p>Daniel is shopping at a grocery store to buy food. Where do you buy food? Is it similar to the picture above? Is it different? Daniel is careful about how he uses money. He always writes down how much money he spends at the store. Are you careful about how you use money? How do you use money wisely?</p>
	<p>Review these vocabulary words before reading the passage. They will help you understand the passage.</p>
	<div style=""list-style-type: none; margin-left: 2em"">
	<dl>
		<dt>quantity (n):</dt>
		<dd>the amount or number of something</dd>
		<dt>example:</dt>
		<dd>I will buy a large quantity of food for the party.</dd>
		<dt>total (n):</dt>
		<dd>how much something is all together</dd>
		<dt>example:</dt>
		<dd>I bought two apples and six oranges. In total, I bought eight pieces of fruit.</dd>
	</dl>
	<p>Daniel just came home from buying food at the grocery store. He has this paper.</p>
		<p><img src=""/Content/EC3_images/R1FP/receipt_R1FP.jpg""></p></div>
</body>
</html>",How much money did Daniel spend all together? ,$19.27 ,**$33.40,$67.88 ,$33.43 ,,
reading ,level 1,passage 2 question 3,ask and answer,daily life ,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you understand/practice Asking and Answering questions. As you practice?Asking and Answering questions, you will be able to:</p>
	<ol style=""list-style-type: lower-alpha;"" type="""">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Begin with the Warm-up. Then read the passage, and answer the questions. At the end, think about the reflection questions.</p>
	<h1>Warm-up</h1>
	<p>When people go to a different country, sometimes it is hard. Sometimes it is because the culture is different. Everything can seem strange or unusual.</p>
	<ul>
		<li>Have you traveled to a different country?</li>
		<li>What did you see that was different?</li>
	</ul>
	<p>Review these vocabulary words before reading the passage. They will help you understand the passage.</p>
	<dl>
		<dt>shock (n):</dt>
		<dd>a sudden, usually bad feeling caused by something unexpected.</dd>
		<dt>example:</dt>
		<dd>It was a big shock when I failed the test because I studied a lot.</dd>
		<dt>counseling (n):</dt>
		<dd>advice and support that people get when they need help.</dd>
		<dt>example:</dt>
		<dd>The college has career counseling for people who need to find a job.</dd>
	</dl>
	<h2>Passage</h2>
	<p>Masashi is an international student from Japan. He goes to school in the United States. He is very homesick. He goes to see a counselor. She gives him this paper to help him.</p>
	<blockquote>
		<p style=""text-align: center;""><strong>MABLEBERRY COLLEGE COUNSELING SERVICES</strong></p>
		<p>Moving to a new country can be difficult. But you can feel comfortable soon! How can you feel good in a new country?</p>
		<p><strong>What is Culture Shock?</strong><br>
		It is a feeling you may get when you leave your home and go to a new place. This new place is very different. For example, the food, the language, the people, and many other things are strange to you.<br>
		<strong>How do you know if you have Culture Shock?</strong></p>
		<p>Are you&hellip;</p>
		<ul>
			<li>Feeling sad and alone?</li>
			<li>Missing your home country a lot?</li>
			<li>Thinking the local culture is strange or bad?</li>
			<li>Having difficulty eating and sleeping?</li>
			<li>Spending most of your time alone?</li>
		</ul>
		<p><strong>Culture Shock Advice:</strong></p>
		<ul>
			<li>Learn about other cultures.</li>
			<li>Make friends with people from different countries.</li>
			<li>Laugh a lot! Do not be too serious.</li>
			<li>Stay healthy. Exercise. Eat fruits and vegetables. Go to bed early.</li>
			<li>Remember that other cultures are different. They are not better or worse.</li>
			<li>Try foods from other countries. You might like them!</li>
			<li>Learn some words in other languages.</li>
		</ul>
		<p>Please Contact Us:<br>
		Finley Hall, Room 172 (across from the Activities Center)<br>
		Phone: (623) 431-5515<br>
		E-mail: <a>mableberrycounselors@mc.edu</a><br>
		We are here to help you! You can feel better soon. Don&rsquo;t give up!<br></p>
	</blockquote>
</body>
</html>",This passage lists ideas for overcoming culture shock. What is one idea that is not suggested in this reading passage? ,**Join culture clubs.,Learn other languages.  ,Take care of your health.  ,Do not be too serious.,,
reading ,level 1,passage 1 question 1,ask and answer,education,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you master Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Do the Warm-up first. Then read the passage below, and answer the practice questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/secretary.jpg""></p>
	<p>There are many people you can ask for help when you have to make a choice. When they tell you what they think, that is called advice. Who do you ask for advice when you have to make a choice?<br>
	<br></p>
	<blockquote>
		Xiao Yan wants to study English in the United States. She writes this email to ask for advice.<br>
		<br>
		<br>
		To: <a>chenb@yahoo.com</a><br>
		Subject: Your English program<br>
		<br>
		Hi Benny!<br>
		<br>
		How do you like Florida? How is your English program over there? I want to go to the United States to study English. But I&rsquo;m not sure where I should go or what kind of program I should look for. Can you give me some advice?<br>
		<br>
		Thanks,<br>
		Xiao Yan<br>
		<hr>
		To: <a>xiaoxiao@chinamail.com</a><br>
		Re: Your English Program<br>
		<br>
		Xiao Yan!<br>
		<br>
		It&rsquo;s great to hear from you! I love Florida because the weather is wonderful! I also love the English Program here. But it is really hard. I am studying English literature at the university. I think you should try an intensive English program. In an intensive program, you study English to get better at reading, writing, speaking, and listening. Intensive programs are usually only for a short time. You should check out the intensive English program at my university. Here is the link to their website: <a>www.intensiveenglishFL.com.</a> It would be fun for you to come to Florida!<br>
		<br>
		Best wishes,<br>
		Benny<br>
		<hr>
		To: <a>chenb@yahoo.com</a><br>
		Re: Your English Program<br>
		<br>
		Hi Benny,<br>
		<br>
		Thanks for the information about your school. I think an intensive English program is what I need. I will look into the one at your school. I would love to live close to you. But then you would have to put up with me all the time!<br>
		<br>
		Thanks again,<br>
		Xiao Yan
	</blockquote>
</body>
</html>",This passage is ________________. ,an email to a business  ,an email to a teacher ,an email to a school ,**an email to a friend ,,
reading ,level 1,passage 1 question 2,ask and answer,education,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you master Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Do the Warm-up first. Then read the passage below, and answer the practice questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/secretary.jpg""></p>
	<p>There are many people you can ask for help when you have to make a choice. When they tell you what they think, that is called advice. Who do you ask for advice when you have to make a choice?<br>
	<br></p>
	<blockquote>
		Xiao Yan wants to study English in the United States. She writes this email to ask for advice.<br>
		<br>
		<br>
		To: <a>chenb@yahoo.com</a><br>
		Subject: Your English program<br>
		<br>
		Hi Benny!<br>
		<br>
		How do you like Florida? How is your English program over there? I want to go to the United States to study English. But I&rsquo;m not sure where I should go or what kind of program I should look for. Can you give me some advice?<br>
		<br>
		Thanks,<br>
		Xiao Yan<br>
		<hr>
		To: <a>xiaoxiao@chinamail.com</a><br>
		Re: Your English Program<br>
		<br>
		Xiao Yan!<br>
		<br>
		It&rsquo;s great to hear from you! I love Florida because the weather is wonderful! I also love the English Program here. But it is really hard. I am studying English literature at the university. I think you should try an intensive English program. In an intensive program, you study English to get better at reading, writing, speaking, and listening. Intensive programs are usually only for a short time. You should check out the intensive English program at my university. Here is the link to their website: <a>www.intensiveenglishFL.com.</a> It would be fun for you to come to Florida!<br>
		<br>
		Best wishes,<br>
		Benny<br>
		<hr>
		To: <a>chenb@yahoo.com</a><br>
		Re: Your English Program<br>
		<br>
		Hi Benny,<br>
		<br>
		Thanks for the information about your school. I think an intensive English program is what I need. I will look into the one at your school. I would love to live close to you. But then you would have to put up with me all the time!<br>
		<br>
		Thanks again,<br>
		Xiao Yan
	</blockquote>
</body>
</html>",Xiao Yan asks Benny for help doing something. What does she ask for help with? ,**choosing an English program in the United States ,getting a visa to come to the United States ,improving her English language skills ,planning a trip to visit the United States ,,
reading ,level 1,passage 1 question 3,ask and answer,education,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you master Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Do the Warm-up first. Then read the passage below, and answer the practice questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/secretary.jpg""></p>
	<p>There are many people you can ask for help when you have to make a choice. When they tell you what they think, that is called advice. Who do you ask for advice when you have to make a choice?<br>
	<br></p>
	<blockquote>
		Xiao Yan wants to study English in the United States. She writes this email to ask for advice.<br>
		<br>
		<br>
		To: <a>chenb@yahoo.com</a><br>
		Subject: Your English program<br>
		<br>
		Hi Benny!<br>
		<br>
		How do you like Florida? How is your English program over there? I want to go to the United States to study English. But I&rsquo;m not sure where I should go or what kind of program I should look for. Can you give me some advice?<br>
		<br>
		Thanks,<br>
		Xiao Yan<br>
		<hr>
		To: <a>xiaoxiao@chinamail.com</a><br>
		Re: Your English Program<br>
		<br>
		Xiao Yan!<br>
		<br>
		It&rsquo;s great to hear from you! I love Florida because the weather is wonderful! I also love the English Program here. But it is really hard. I am studying English literature at the university. I think you should try an intensive English program. In an intensive program, you study English to get better at reading, writing, speaking, and listening. Intensive programs are usually only for a short time. You should check out the intensive English program at my university. Here is the link to their website: <a>www.intensiveenglishFL.com.</a> It would be fun for you to come to Florida!<br>
		<br>
		Best wishes,<br>
		Benny<br>
		<hr>
		To: <a>chenb@yahoo.com</a><br>
		Re: Your English Program<br>
		<br>
		Hi Benny,<br>
		<br>
		Thanks for the information about your school. I think an intensive English program is what I need. I will look into the one at your school. I would love to live close to you. But then you would have to put up with me all the time!<br>
		<br>
		Thanks again,<br>
		Xiao Yan
	</blockquote>
</body>
</html>",Benny gives some advice to Xiao Yan. He tells her to,**Try and intensive English program,Call a Teacher at the University,Move to Florida,,,
reading ,level 1,passage 1 question 4,ask and answer,education,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you master Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Do the Warm-up first. Then read the passage below, and answer the practice questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/secretary.jpg""></p>
	<p>There are many people you can ask for help when you have to make a choice. When they tell you what they think, that is called advice. Who do you ask for advice when you have to make a choice?<br>
	<br></p>
	<blockquote>
		Xiao Yan wants to study English in the United States. She writes this email to ask for advice.<br>
		<br>
		<br>
		To: <a>chenb@yahoo.com</a><br>
		Subject: Your English program<br>
		<br>
		Hi Benny!<br>
		<br>
		How do you like Florida? How is your English program over there? I want to go to the United States to study English. But I&rsquo;m not sure where I should go or what kind of program I should look for. Can you give me some advice?<br>
		<br>
		Thanks,<br>
		Xiao Yan<br>
		<hr>
		To: <a>xiaoxiao@chinamail.com</a><br>
		Re: Your English Program<br>
		<br>
		Xiao Yan!<br>
		<br>
		It&rsquo;s great to hear from you! I love Florida because the weather is wonderful! I also love the English Program here. But it is really hard. I am studying English literature at the university. I think you should try an intensive English program. In an intensive program, you study English to get better at reading, writing, speaking, and listening. Intensive programs are usually only for a short time. You should check out the intensive English program at my university. Here is the link to their website: <a>www.intensiveenglishFL.com.</a> It would be fun for you to come to Florida!<br>
		<br>
		Best wishes,<br>
		Benny<br>
		<hr>
		To: <a>chenb@yahoo.com</a><br>
		Re: Your English Program<br>
		<br>
		Hi Benny,<br>
		<br>
		Thanks for the information about your school. I think an intensive English program is what I need. I will look into the one at your school. I would love to live close to you. But then you would have to put up with me all the time!<br>
		<br>
		Thanks again,<br>
		Xiao Yan
	</blockquote>
</body>
</html>","Select the sentence in this paragraph that tells you a reason why Benny likes Florida. 
""It’s great to hear from you! I love Florida because the weather is wonderful! I also love the English Program here. But it is really hard. I am studying English literature at the university. I think you should try an intensive English program. In an intensive program, you study English to get better at reading, writing, speaking, and listening. Intensive programs are usually only for a short time. You should check out the intensive English program at my university. "" ",It’s great to hear from you! ,**I love Florida because the weather is wonderful! ,I am studying English literature at the university. , Intensive programs are usually only for a short time.,,
reading ,level 1,passage 1 question 5,ask and answer,education,2,"
<html>

<body>
	<h1>Instructions</h1>
	<p>This passage will help you master Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>identify single familiar words/details or memorized chunks of words/details when scanning</li>
	</ol>
	<p>Do the Warm-up first. Then read the passage below, and answer the practice questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/secretary.jpg""></p>
	<p>There are many people you can ask for help when you have to make a choice. When they tell you what they think, that is called advice. Who do you ask for advice when you have to make a choice?<br>
	<br></p>
	<blockquote>
		Xiao Yan wants to study English in the United States. She writes this email to ask for advice.<br>
		<br>
		<br>
		To: <a>chenb@yahoo.com</a><br>
		Subject: Your English program<br>
		<br>
		Hi Benny!<br>
		<br>
		How do you like Florida? How is your English program over there? I want to go to the United States to study English. But I&rsquo;m not sure where I should go or what kind of program I should look for. Can you give me some advice?<br>
		<br>
		Thanks,<br>
		Xiao Yan<br>
		<hr>
		To: <a>xiaoxiao@chinamail.com</a><br>
		Re: Your English Program<br>
		<br>
		Xiao Yan!<br>
		<br>
		It&rsquo;s great to hear from you! I love Florida because the weather is wonderful! I also love the English Program here. But it is really hard. I am studying English literature at the university. I think you should try an intensive English program. In an intensive program, you study English to get better at reading, writing, speaking, and listening. Intensive programs are usually only for a short time. You should check out the intensive English program at my university. Here is the link to their website: <a>www.intensiveenglishFL.com.</a> It would be fun for you to come to Florida!<br>
		<br>
		Best wishes,<br>
		Benny<br>
		<hr>
		To: <a>chenb@yahoo.com</a><br>
		Re: Your English Program<br>
		<br>
		Hi Benny,<br>
		<br>
		Thanks for the information about your school. I think an intensive English program is what I need. I will look into the one at your school. I would love to live close to you. But then you would have to put up with me all the time!<br>
		<br>
		Thanks again,<br>
		Xiao Yan
	</blockquote>
</body>
</html>",Which sentence would best fit as a part of Xiao Yan’s emails? ,Please tell me a little about you. ,**I miss you and hope you do well at school. ,What country are you from? ,I would like to request some information. ,,
reading ,level 1,passage 4 question 1,ask and answer,education,2,"
<html>
<body>
	<h1>Instructions</h1>
	<p>This passage will help you master Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>understand simple written yes/no questions</li>
	</ol>
	<p>Do the Warm-up first. Then read the passage below, and answer the practice questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/university_enrollment.jpg""></p>
	<p>Have you ever filled out an application? What was it for? Write down some questions that are on application forms.</p>
	<p><br>
	Review these vocabulary words before reading. They will help you understand the application.</p>
	<dl>
		<dt>qualified (adj):</dt>
		<dd>having the necessary knowledge, scores, etc. to do something</dd>
		<dt>example:</dt>
		<dd>Because my scores are very low, I am not qualified to go to that school.</dd>
		<dt>scholarship (noun):</dt>
		<dd>an award of money to help a student pay for school</dd>
		<dt>example:</dt>
		<dd>He got a scholarship for having good grades.</dd>
		<dt>submit (verb):</dt>
		<dd>to present something to be reviewed by one person or a group of people</dd>
		<dt>example:</dt>
		<dd>She submitted her job application.</dd>
	</dl>
	<h1>Passage</h1>
	<p>Xiao Yan wants to study English in the United States. She fills out this application for an English program in Florida.</p>
	<blockquote>
		<p><strong>Application for the Florida University Intensive English Program</strong><br>
		<br>
		Please fill out this form completely. When you are finished, press the submit button only once.<br>
		<br>
		<strong>Name:</strong>? Xiao Yan<br>
		<br>
		<strong>Email address:</strong>xiaoxiao@chinamail.com<br>
		<br>
		<strong>Country:</strong>China<br>
		<br>
		<strong>Are you a man or a woman?</strong>? woman<br>
		<br>
		<strong>Do you have a visa to travel to the United States?</strong>? no<br>
		<br>
		<strong>Will you apply for the International Student Scholarship?</strong>? yes<br>
		<br>
		<strong>Will you need help paying for school?</strong>? no<br>
		<br>
		<strong>Which semester will you attend?</strong>? ?<br>
		<br>
		<strong>Will you stay with an American family?</strong>? yes<br>
		<br>
		<strong>What is your TOEFL score?</strong>? 59<br>
		<br>
		<strong>Please explain why you want to attend the Florida University Intensive English Program.</strong><br>
		<br>
		I want to study English in the United States. An American education is important in China. I will have many job opportunities. And I am interested in American culture. I know I will learn many important lessons by traveling abroad.</p>
	</blockquote>
</body>
</html>",Look at the questions below. Now choose the questions that you must answer with “yes” or “no.” Choose ALL that apply. ,Which semester will you attend? ?,**Will you stay with an American family?  ,What is your TOEFL score? ,**Do you have a visa for the United States? ,,
reading ,level 1,passage 4 question 2,ask and answer,education,2,"
<html>
<body>
	<h1>Instructions</h1>
	<p>This passage will help you master Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>understand simple written yes/no questions</li>
	</ol>
	<p>Do the Warm-up first. Then read the passage below, and answer the practice questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/university_enrollment.jpg""></p>
	<p>Have you ever filled out an application? What was it for? Write down some questions that are on application forms.</p>
	<p><br>
	Review these vocabulary words before reading. They will help you understand the application.</p>
	<dl>
		<dt>qualified (adj):</dt>
		<dd>having the necessary knowledge, scores, etc. to do something</dd>
		<dt>example:</dt>
		<dd>Because my scores are very low, I am not qualified to go to that school.</dd>
		<dt>scholarship (noun):</dt>
		<dd>an award of money to help a student pay for school</dd>
		<dt>example:</dt>
		<dd>He got a scholarship for having good grades.</dd>
		<dt>submit (verb):</dt>
		<dd>to present something to be reviewed by one person or a group of people</dd>
		<dt>example:</dt>
		<dd>She submitted her job application.</dd>
	</dl>
	<h1>Passage</h1>
	<p>Xiao Yan wants to study English in the United States. She fills out this application for an English program in Florida.</p>
	<blockquote>
		<p><strong>Application for the Florida University Intensive English Program</strong><br>
		<br>
		Please fill out this form completely. When you are finished, press the submit button only once.<br>
		<br>
		<strong>Name:</strong>? Xiao Yan<br>
		<br>
		<strong>Email address:</strong>xiaoxiao@chinamail.com<br>
		<br>
		<strong>Country:</strong>China<br>
		<br>
		<strong>Are you a man or a woman?</strong>? woman<br>
		<br>
		<strong>Do you have a visa to travel to the United States?</strong>? no<br>
		<br>
		<strong>Will you apply for the International Student Scholarship?</strong>? yes<br>
		<br>
		<strong>Will you need help paying for school?</strong>? no<br>
		<br>
		<strong>Which semester will you attend?</strong>? ?<br>
		<br>
		<strong>Will you stay with an American family?</strong>? yes<br>
		<br>
		<strong>What is your TOEFL score?</strong>? 59<br>
		<br>
		<strong>Please explain why you want to attend the Florida University Intensive English Program.</strong><br>
		<br>
		I want to study English in the United States. An American education is important in China. I will have many job opportunities. And I am interested in American culture. I know I will learn many important lessons by traveling abroad.</p>
	</blockquote>
</body>
</html>",The main purpose of this application is to ________________. ,**find out if Xiao Yan is qualified for the program ,get Xiao Yan’s address and other personal information ,find out how Xiao Yan will pay for the program costs ,record Xiao Yan’s grades from her previous school ,,
reading ,level 1,passage 4 question 3,ask and answer,education,2,"
<html>
<body>
	<h1>Instructions</h1>
	<p>This passage will help you master Asking and Answering questions.<br>
	As you practice?Asking and Answering questions, you will be able to:</p>
	<ol type=""a"">
		<li>understand simple written yes/no questions</li>
	</ol>
	<p>Do the Warm-up first. Then read the passage below, and answer the practice questions.</p>
	<h1>Warm-up</h1>
	<p><img src=""/Content/EC3_images/R1FP/university_enrollment.jpg""></p>
	<p>Have you ever filled out an application? What was it for? Write down some questions that are on application forms.</p>
	<p><br>
	Review these vocabulary words before reading. They will help you understand the application.</p>
	<dl>
		<dt>qualified (adj):</dt>
		<dd>having the necessary knowledge, scores, etc. to do something</dd>
		<dt>example:</dt>
		<dd>Because my scores are very low, I am not qualified to go to that school.</dd>
		<dt>scholarship (noun):</dt>
		<dd>an award of money to help a student pay for school</dd>
		<dt>example:</dt>
		<dd>He got a scholarship for having good grades.</dd>
		<dt>submit (verb):</dt>
		<dd>to present something to be reviewed by one person or a group of people</dd>
		<dt>example:</dt>
		<dd>She submitted her job application.</dd>
	</dl>
	<h1>Passage</h1>
	<p>Xiao Yan wants to study English in the United States. She fills out this application for an English program in Florida.</p>
	<blockquote>
		<p><strong>Application for the Florida University Intensive English Program</strong><br>
		<br>
		Please fill out this form completely. When you are finished, press the submit button only once.<br>
		<br>
		<strong>Name:</strong>? Xiao Yan<br>
		<br>
		<strong>Email address:</strong>xiaoxiao@chinamail.com<br>
		<br>
		<strong>Country:</strong>China<br>
		<br>
		<strong>Are you a man or a woman?</strong>? woman<br>
		<br>
		<strong>Do you have a visa to travel to the United States?</strong>? no<br>
		<br>
		<strong>Will you apply for the International Student Scholarship?</strong>? yes<br>
		<br>
		<strong>Will you need help paying for school?</strong>? no<br>
		<br>
		<strong>Which semester will you attend?</strong>? ?<br>
		<br>
		<strong>Will you stay with an American family?</strong>? yes<br>
		<br>
		<strong>What is your TOEFL score?</strong>? 59<br>
		<br>
		<strong>Please explain why you want to attend the Florida University Intensive English Program.</strong><br>
		<br>
		I want to study English in the United States. An American education is important in China. I will have many job opportunities. And I am interested in American culture. I know I will learn many important lessons by traveling abroad.</p>
	</blockquote>
</body>
</html>",Did Xiao Yan take the TOEFL? ,** Yes,No,,,,
